Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
25.03.;;;;;;;;;;4er;           4.625;à;              43,30;3er + ZZ;           5.719;à;              15,70;3er;          71.755;à;               5,00;ZZ;         191.567;à;               1,20;
28.03.;aufsteigend;3;4;28;30;31;39;ZZ;1;6er;JP;;         668.063,00;5er + ZZ;               1;à;          91.858,60;5er;              78;à;           1.284,70;4er + ZZ;             189;à;             159,00;
28.03.;;;;;;;;;;4er;           3.611;à;              46,20;3er + ZZ;           4.891;à;              15,30;3er;          59.218;à;               5,10;ZZ;         176.303;à;               1,20;
01.04.;aufsteigend;13;23;25;29;36;38;ZZ;24;6er;DJP;;       1.716.066,30;5er + ZZ;               3;à;          48.033,40;5er;              93;à;           1.690,30;4er + ZZ;             222;à;             212,40;
01.04.;;;;;;;;;;4er;           4.877;à;              53,70;3er + ZZ;           6.722;à;              17,50;3er;          83.284;à;               5,60;ZZ;         282.664;à;               1,20;
04.04.;aufsteigend;11;14;26;29;35;43;ZZ;10;6er;3JP;;       2.644.901,90;5er + ZZ;               2;à;          63.857,40;5er;              81;à;           1.720,00;4er + ZZ;             245;à;             170,60;
04.04.;;;;;;;;;;4er;           4.941;à;              46,90;3er + ZZ;           6.674;à;              15,60;3er;          80.400;à;               5,20;ZZ;         273.321;à;               1,20;
08.04.;aufsteigend;1;5;19;23;26;30;ZZ;37;6er;4JP;;       3.938.155,70;5er + ZZ;               2;à;          88.911,10;5er;             179;à;           1.083,70;4er + ZZ;             348;à;             167,20;
08.04.;;;;;;;;;;4er;           7.969;à;              40,50;3er + ZZ;           8.413;à;              17,20;3er;         123.659;à;               4,70;ZZ;         306.584;à;               1,20;
11.04.;aufsteigend;1;4;5;6;7;25;ZZ;39;6er;               2;à;       2.697.294,70;5er + ZZ;               4;à;          50.064,90;5er;             310;à;             704,70;4er + ZZ;             380;à;             172,40;
11.04.;;;;;;;;;;4er;          12.898;à;              28,20;3er + ZZ;           9.844;à;              16,60;3er;         149.551;à;               4,40;ZZ;         380.886;à;               1,20;
15.04.;aufsteigend;3;10;13;20;24;45;ZZ;21;6er;JP;;         804.984,40;5er + ZZ;JP;;         110.685,30;5er;             117;à;           1.032,00;4er + ZZ;             240;à;             150,90;
15.04.;;;;;;;;;;4er;           5.220;à;              38,50;3er + ZZ;           6.348;à;              14,20;3er;          78.619;à;               4,60;ZZ;         217.840;à;               1,20;
18.04.;aufsteigend;12;14;17;39;40;45;ZZ;19;6er;               1;à;       1.677.849,80;5er + ZZ;DJP;;         230.704,30;5er;              98;à;           1.336,00;4er + ZZ;             230;à;             170,70;
18.04.;;;;;;;;;;4er;           4.193;à;              52,00;3er + ZZ;           5.797;à;              16,90;3er;          71.982;à;               5,40;ZZ;         237.380;à;               1,20;
22.04.;aufsteigend;7;8;24;26;41;45;ZZ;19;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;         335.890,90;5er;              80;à;           1.434,30;4er + ZZ;             213;à;             161,60;
22.04.;;;;;;;;;;4er;           3.770;à;              50,70;3er + ZZ;           5.980;à;              14,30;3er;          66.044;à;               5,20;ZZ;         199.714;à;               1,20;
25.04.;aufsteigend;3;8;36;40;43;44;ZZ;23;6er;JP;;         632.753,90;5er + ZZ;               1;à;          87.003,60;5er;              53;à;           1.790,80;4er + ZZ;             167;à;             170,50;
25.04.;;;;;;;;;;4er;           3.049;à;              51,80;3er + ZZ;           4.473;à;              15,90;3er;          52.717;à;               5,40;ZZ;         165.735;à;               1,20;
29.04.;aufsteigend;2;18;29;30;32;43;ZZ;28;6er;DJP;;       1.547.435,80;5er + ZZ;               1;à;         125.768,70;5er;              92;à;           1.491,30;4er + ZZ;             177;à;             232,50;
29.04.;;;;;;;;;;4er;           4.245;à;              53,80;3er + ZZ;           6.041;à;              17,00;3er;          72.554;à;               5,70;ZZ;         256.503;à;               1,20;
02.05.;aufsteigend;9;19;26;28;31;42;ZZ;22;6er;               1;à;       2.480.992,30;5er + ZZ;               1;à;         128.364,00;5er;             115;à;           1.217,60;4er + ZZ;             267;à;             157,30;
02.05.;;;;;;;;;;4er;           5.238;à;              44,50;3er + ZZ;           6.764;à;              15,50;3er;          82.549;à;               5,10;ZZ;         247.081;à;               1,20;
06.05.;aufsteigend;2;19;23;37;42;44;ZZ;38;6er;JP;;         771.072,10;5er + ZZ;               2;à;          53.011,20;5er;              67;à;           1.726,20;4er + ZZ;             156;à;             222,40;
06.05.;;;;;;;;;;4er;           3.598;à;              53,50;3er + ZZ;           4.526;à;              19,10;3er;          60.461;à;               5,70;ZZ;         187.097;à;               1,20;
09.05.;aufsteigend;9;15;17;21;33;36;ZZ;29;6er;               1;à;       1.648.077,90;5er + ZZ;               5;à;          24.117,60;5er;             158;à;             832,60;4er + ZZ;             394;à;             100,10;
09.05.;;;;;;;;;;4er;           6.196;à;              35,30;3er + ZZ;           7.439;à;              13,20;3er;          83.427;à;               4,70;ZZ;         219.002;à;               1,20;
13.05.;aufsteigend;3;4;5;16;17;20;ZZ;19;6er;               1;à;       1.000.000,00;5er + ZZ;               5;à;          20.512,50;5er;             110;à;           1.017,10;4er + ZZ;             259;à;             129,50;
13.05.;;;;;;;;;;4er;           5.073;à;              36,70;3er + ZZ;           6.641;à;              12,60;3er;          77.188;à;               4,30;ZZ;         187.667;à;               1,20;
16.05.;aufsteigend;8;17;24;28;29;40;ZZ;25;6er;JP;;         664.349,30;5er + ZZ;               3;à;          30.449,30;5er;              71;à;           1.403,50;4er + ZZ;             176;à;             169,80;
16.05.;;;;;;;;;;4er;           3.639;à;              45,60;3er + ZZ;           4.730;à;              15,80;3er;          61.190;à;               4,90;ZZ;         161.499;à;               1,20;
20.05.;aufsteigend;1;9;23;28;41;43;ZZ;39;6er;DJP;;       1.598.011,90;5er + ZZ;               3;à;          42.792,80;5er;             114;à;           1.228,50;4er + ZZ;             261;à;             160,90;
20.05.;;;;;;;;;;4er;           4.903;à;              47,60;3er + ZZ;           6.575;à;              15,90;3er;          81.193;à;               5,20;ZZ;         237.171;à;               1,20;
23.05.;aufsteigend;9;13;15;16;24;33;ZZ;18;6er;3JP;;       2.473.400,50;5er + ZZ;               4;à;          30.091,40;5er;              99;à;           1.326,30;4er + ZZ;             252;à;             156,30;
23.05.;;;;;;;;;;4er;           4.817;à;              45,40;3er + ZZ;           6.277;à;              15,60;3er;          80.079;à;               4,90;ZZ;         218.857;à;               1,20;
27.05.;aufsteigend;10;11;23;27;29;37;ZZ;36;6er;4JP;;       3.686.827,00;5er + ZZ;               4;à;          41.711,50;5er;             118;à;           1.542,40;4er + ZZ;             318;à;             171,70;
27.05.;;;;;;;;;;4er;           6.840;à;              44,30;3er + ZZ;           8.383;à;              16,20;3er;         113.495;à;               4,80;ZZ;         294.322;à;               1,20;
30.05.;aufsteigend;1;4;19;22;30;33;ZZ;20;6er;               2;à;       2.559.318,50;5er + ZZ;               1;à;         196.873,80;5er;             184;à;           1.167,20;4er + ZZ;             438;à;             147,10;
30.05.;;;;;;;;;;4er;           8.204;à;              43,60;3er + ZZ;          10.761;à;              14,90;3er;         131.531;à;               4,90;ZZ;         364.721;à;               1,20;
03.06.;aufsteigend;12;16;20;25;32;36;ZZ;3;6er;JP;;         748.379,40;5er + ZZ;               4;à;          25.725,50;5er;              74;à;           1.516,90;4er + ZZ;             216;à;             155,90;
03.06.;;;;;;;;;;4er;           3.515;à;              53,20;3er + ZZ;           5.834;à;              14,40;3er;          58.959;à;               5,70;ZZ;         236.842;à;               1,20;
06.06.;aufsteigend;12;15;28;29;32;43;ZZ;42;6er;               1;à;       1.604.010,10;5er + ZZ;               2;à;          58.824,60;5er;              98;à;           1.309,60;4er + ZZ;             237;à;             162,40;
06.06.;;;;;;;;;;4er;           4.593;à;              46,50;3er + ZZ;           5.658;à;              17,00;3er;          73.551;à;               5,20;ZZ;         205.582;à;               1,20;
10.06.;aufsteigend;20;21;28;29;35;37;ZZ;39;6er;JP;;         776.017,90;5er + ZZ;               1;à;         106.702,40;5er;              56;à;           2.078,60;4er + ZZ;             204;à;             171,10;
10.06.;;;;;;;;;;4er;           3.724;à;              52,00;3er + ZZ;           5.458;à;              15,90;3er;          62.191;à;               5,60;ZZ;         197.030;à;               1,20;
13.06.;aufsteigend;12;16;23;30;38;43;ZZ;14;6er;DJP;;       1.618.145,10;5er + ZZ;JP;;         115.792,40;5er;              77;à;           1.640,50;4er + ZZ;             178;à;             212,80;
13.06.;;;;;;;;;;4er;           4.020;à;              52,30;3er + ZZ;           5.248;à;              18,00;3er;          68.447;à;               5,50;ZZ;         218.792;à;               1,20;
17.06.;aufsteigend;4;9;10;12;13;32;ZZ;27;6er;               1;à;       2.694.434,10;5er + ZZ;               1;à;         263.782,20;5er;             118;à;           1.368,10;4er + ZZ;             385;à;             125,80;
17.06.;;;;;;;;;;4er;           6.251;à;              43,00;3er + ZZ;           9.556;à;              12,60;3er;         101.299;à;               4,80;ZZ;         290.493;à;               1,20;
20.06.;aufsteigend;3;6;16;27;32;39;ZZ;29;6er;               1;à;       1.000.000,00;5er + ZZ;JP;;          88.561,30;5er;              88;à;           1.097,80;4er + ZZ;             234;à;             123,80;
20.06.;;;;;;;;;;4er;           3.940;à;              40,80;3er + ZZ;           5.574;à;              12,90;3er;          62.390;à;               4,60;ZZ;         161.510;à;               1,20;
24.06.;aufsteigend;20;23;28;38;43;45;ZZ;41;6er;JP;;         745.601,30;5er + ZZ;               1;à;         191.081,50;5er;              68;à;           1.644,70;4er + ZZ;             209;à;             160,50;
24.06.;;;;;;;;;;4er;           4.026;à;              46,20;3er + ZZ;           4.997;à;              16,70;3er;          60.034;à;               5,60;ZZ;         182.363;à;               1,20;
27.06.;aufsteigend;8;15;26;28;37;44;ZZ;43;6er;DJP;;       1.561.455,30;5er + ZZ;               2;à;          56.089,90;5er;             117;à;           1.045,90;4er + ZZ;             210;à;             174,80;
27.06.;;;;;;;;;;4er;           4.320;à;              47,20;3er + ZZ;           5.352;à;              17,10;3er;          70.693;à;               5,20;ZZ;         199.214;à;               1,20;
01.07.;aufsteigend;5;6;8;10;17;30;ZZ;29;6er;               2;à;       1.324.911,30;5er + ZZ;               5;à;          29.930,10;5er;             238;à;             685,90;4er + ZZ;             468;à;             104,60;
01.07.;;;;;;;;;;4er;           8.696;à;              31,20;3er + ZZ;           9.692;à;              12,60;3er;         117.562;à;               4,10;ZZ;         273.281;à;               1,20;
04.07.;aufsteigend;6;8;29;30;34;36;ZZ;26;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          23.588,40;5er;              63;à;           1.633,80;4er + ZZ;             189;à;             163,30;
04.07.;;;;;;;;;;4er;           3.288;à;              52,10;3er + ZZ;           5.202;à;              14,80;3er;          58.233;à;               5,30;ZZ;         183.404;à;               1,20;
08.07.;aufsteigend;8;9;18;39;41;45;ZZ;13;6er;JP;;         770.801,80;5er + ZZ;JP;;         105.985,20;5er;              90;à;           1.284,60;4er + ZZ;             186;à;             186,40;
08.07.;;;;;;;;;;4er;           3.925;à;              49,00;3er + ZZ;           5.197;à;              16,60;3er;          65.441;à;               5,30;ZZ;         205.209;à;               1,20;
11.07.;aufsteigend;27;29;36;41;44;45;ZZ;32;6er;DJP;;       1.611.267,30;5er + ZZ;               3;à;          73.849,70;5er;              85;à;           1.483,10;4er + ZZ;             244;à;             155,00;
11.07.;;;;;;;;;;4er;           4.059;à;              51,70;3er + ZZ;           5.548;à;              17,00;3er;          68.515;à;               5,50;ZZ;         204.934;à;               1,20;
15.07.;aufsteigend;15;29;37;42;43;45;ZZ;40;6er;               1;à;       2.687.466,60;5er + ZZ;               2;à;          73.988,70;5er;             106;à;           1.522,90;4er + ZZ;             329;à;             147,20;
15.07.;;;;;;;;;;4er;           5.402;à;              49,80;3er + ZZ;           8.396;à;              14,40;3er;          86.307;à;               5,60;ZZ;         280.513;à;               1,20;
18.07.;aufsteigend;7;10;22;24;27;43;ZZ;40;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;          87.332,80;5er;              81;à;           1.176,20;4er + ZZ;             185;à;             154,40;
18.07.;;;;;;;;;;4er;           3.847;à;              41,20;3er + ZZ;           4.759;à;              15,00;3er;          62.330;à;               4,60;ZZ;         148.811;à;               1,20;
22.07.;aufsteigend;2;6;13;21;28;37;ZZ;42;6er;               2;à;         500.000,00;5er + ZZ;               1;à;         100.885,40;5er;             103;à;           1.068,50;4er + ZZ;             210;à;             157,20;
22.07.;;;;;;;;;;4er;           4.240;à;              43,20;3er + ZZ;           5.346;à;              15,40;3er;          67.086;à;               4,90;ZZ;         174.292;à;               1,20;
25.07.;aufsteigend;10;18;26;31;32;37;ZZ;19;6er;JP;;         611.501,00;5er + ZZ;               3;à;          28.027,10;5er;              44;à;           2.084,60;4er + ZZ;             130;à;             211,60;
25.07.;;;;;;;;;;4er;           2.616;à;              58,40;3er + ZZ;           3.709;à;              18,50;3er;          46.151;à;               5,90;ZZ;         175.587;à;               1,20;
29.07.;aufsteigend;2;3;6;29;33;40;ZZ;21;6er;DJP;;       1.490.151,20;5er + ZZ;               3;à;          40.271,40;5er;              99;à;           1.331,20;4er + ZZ;             284;à;             139,20;
29.07.;;;;;;;;;;4er;           4.631;à;              47,40;3er + ZZ;           7.273;à;              13,50;3er;          81.413;à;               4,80;ZZ;         225.153;à;               1,20;
01.08.;aufsteigend;14;16;28;29;36;42;ZZ;27;6er;3JP;;       2.416.134,00;5er + ZZ;               4;à;          31.830,60;5er;              84;à;           1.653,50;4er + ZZ;             250;à;             166,60;
01.08.;;;;;;;;;;4er;           4.633;à;              49,90;3er + ZZ;           6.879;à;              15,10;3er;          77.343;à;               5,40;ZZ;         268.934;à;               1,20;
05.08.;aufsteigend;10;17;23;24;34;42;ZZ;39;6er;               5;à;         724.552,30;5er + ZZ;               4;à;          41.477,80;5er;             126;à;           1.436,40;4er + ZZ;             327;à;             166,00;
05.08.;;;;;;;;;;4er;           6.385;à;              47,20;3er + ZZ;           8.811;à;              15,40;3er;         103.224;à;               5,20;ZZ;         309.981;à;               1,20;
08.08.;aufsteigend;1;12;25;35;37;45;ZZ;28;6er;               1;à;       1.000.000,00;5er + ZZ;               5;à;          17.331,70;5er;              83;à;           1.139,00;4er + ZZ;             170;à;             166,80;
08.08.;;;;;;;;;;4er;           3.413;à;              46,10;3er + ZZ;           4.030;à;              17,50;3er;          51.313;à;               5,50;ZZ;         181.527;à;               1,20;
12.08.;aufsteigend;12;26;36;38;41;45;ZZ;5;6er;JP;;         723.807,40;5er + ZZ;JP;;          99.523,50;5er;              67;à;           1.620,40;4er + ZZ;             188;à;             173,20;
12.08.;;;;;;;;;;4er;           3.500;à;              51,70;3er + ZZ;           5.108;à;              15,90;3er;          57.287;à;               5,70;ZZ;         226.545;à;               1,20;
15.08.;aufsteigend;9;19;30;34;35;42;ZZ;43;6er;DJP;;       1.463.395,80;5er + ZZ;               2;à;         100.608,40;5er;              66;à;           1.680,80;4er + ZZ;             166;à;             200,40;
15.08.;;;;;;;;;;4er;           3.486;à;              53,00;3er + ZZ;           4.763;à;              17,40;3er;          59.878;à;               5,50;ZZ;         184.194;à;               1,20;
19.08.;aufsteigend;2;11;14;22;23;44;ZZ;36;6er;               1;à;       2.491.463,70;5er + ZZ;               5;à;          28.271,80;5er;             127;à;           1.214,20;4er + ZZ;             308;à;             150,20;
19.08.;;;;;;;;;;4er;           5.901;à;              43,50;3er + ZZ;           7.151;à;              16,10;3er;          94.090;à;               4,90;ZZ;         253.994;à;               1,20;
22.08.;aufsteigend;20;21;22;24;30;43;ZZ;36;6er;JP;;         615.304,40;5er + ZZ;               1;à;          84.604,30;5er;              60;à;           1.538,20;4er + ZZ;             133;à;             208,10;
22.08.;;;;;;;;;;4er;           3.048;à;              50,40;3er + ZZ;           3.683;à;              18,70;3er;          48.776;à;               5,70;ZZ;         144.682;à;               1,20;
26.08.;aufsteigend;1;18;22;23;30;32;ZZ;34;6er;DJP;;       1.511.801,30;5er + ZZ;               2;à;          61.634,10;5er;              77;à;           1.746,40;4er + ZZ;             226;à;             178,50;
26.08.;;;;;;;;;;4er;           4.321;à;              51,80;3er + ZZ;           5.683;à;              17,70;3er;          73.056;à;               5,50;ZZ;         220.065;à;               1,20;
29.08.;aufsteigend;14;16;24;30;31;45;ZZ;18;6er;3JP;;       2.434.453,00;5er + ZZ;JP;;         126.864,60;5er;              93;à;           1.488,10;4er + ZZ;             204;à;             203,50;
29.08.;;;;;;;;;;4er;           4.327;à;              53,30;3er + ZZ;           5.731;à;              18,10;3er;          72.483;à;               5,70;ZZ;         238.639;à;               1,20;
02.09.;aufsteigend;2;15;16;31;37;45;ZZ;21;6er;4JP;;       3.705.922,90;5er + ZZ;               8;à;          37.711,40;5er;             118;à;           1.616,20;4er + ZZ;             310;à;             184,50;
02.09.;;;;;;;;;;4er;           6.025;à;              52,70;3er + ZZ;           8.077;à;              17,70;3er;         100.207;à;               5,70;ZZ;         355.940;à;               1,20;
05.09.;aufsteigend;5;8;15;26;40;42;ZZ;29;6er;5JP;;       5.148.933,60;5er + ZZ;              11;à;          18.037,60;5er;             203;à;           1.066,20;4er + ZZ;             514;à;             126,30;
05.09.;;;;;;;;;;4er;           8.440;à;              42,70;3er + ZZ;          11.717;à;              13,80;3er;         133.679;à;               4,80;ZZ;         373.388;à;               1,20;
09.09.;aufsteigend;4;8;12;18;24;39;ZZ;29;6er;6JP;;       7.174.599,40;5er + ZZ;              10;à;          27.852,90;5er;             321;à;             946,50;4er + ZZ;             669;à;             136,20;
09.09.;;;;;;;;;;4er;          12.509;à;              40,40;3er + ZZ;          16.181;à;              14,00;3er;         190.453;à;               4,80;ZZ;         530.381;à;               1,20;
12.09.;aufsteigend;8;12;20;23;37;42;ZZ;19;6er;               2;à;       5.132.100,00;5er + ZZ;               9;à;          47.202,20;5er;             360;à;           1.287,30;4er + ZZ;             893;à;             155,60;
12.09.;;;;;;;;;;4er;          16.895;à;              45,70;3er + ZZ;          21.841;à;              15,90;3er;         267.517;à;               5,20;ZZ;         825.354;à;               1,20;
16.09.;aufsteigend;8;10;14;23;43;44;ZZ;32;6er;JP;;         797.264,80;5er + ZZ;               3;à;          36.541,30;5er;              79;à;           1.513,70;4er + ZZ;             224;à;             160,10;
16.09.;;;;;;;;;;4er;           3.858;à;              51,60;3er + ZZ;           5.663;à;              15,80;3er;          67.384;à;               5,30;ZZ;         189.811;à;               1,20;
