Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
03.01.;aufsteigend;8;22;25;26;32;45;ZZ;6;6er;JP;;         742.274,20;5er + ZZ;               1;à;         102.062,70;5er;              70;à;           1.590,50;4er + ZZ;             197;à;             169,50;
03.01.;;;;;;;;;;4er;           3.694;à;              50,20;3er + ZZ;           5.495;à;              15,10;3er;          62.416;à;               5,30;ZZ;         213.592;à;               1,20;
07.01.;aufsteigend;26;31;32;37;39;41;ZZ;25;6er;DJP;;       1.790.819,10;5er + ZZ;               3;à;          48.058,30;5er;             115;à;           1.367,60;4er + ZZ;             260;à;             181,40;
07.01.;;;;;;;;;;4er;           5.098;à;              51,40;3er + ZZ;           6.180;à;              19,00;3er;          81.778;à;               5,80;ZZ;         276.088;à;               1,20;
10.01.;aufsteigend;3;7;25;27;31;41;ZZ;21;6er;               3;à;         976.535,30;5er + ZZ;               2;à;          78.291,50;5er;             149;à;           1.146,40;4er + ZZ;             393;à;             130,30;
10.01.;;;;;;;;;;4er;           6.679;à;              42,60;3er + ZZ;           9.324;à;              13,70;3er;         104.882;à;               4,90;ZZ;         301.219;à;               1,20;
14.01.;aufsteigend;1;3;30;33;37;43;ZZ;10;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          30.070,60;5er;              81;à;           1.619,90;4er + ZZ;             268;à;             146,80;
14.01.;;;;;;;;;;4er;           4.766;à;              45,80;3er + ZZ;           6.957;à;              14,10;3er;          73.564;à;               5,30;ZZ;         248.797;à;               1,20;
17.01.;aufsteigend;9;14;15;17;31;42;ZZ;3;6er;JP;;         743.122,80;5er + ZZ;               1;à;         102.179,30;5er;              68;à;           1.639,20;4er + ZZ;             210;à;             159,20;
17.01.;;;;;;;;;;4er;           3.498;à;              53,10;3er + ZZ;           5.916;à;              14,10;3er;          60.142;à;               5,50;ZZ;         218.404;à;               1,20;
21.01.;aufsteigend;11;12;14;24;31;44;ZZ;22;6er;DJP;;       1.781.497,30;5er + ZZ;               7;à;          20.396,60;5er;             107;à;           1.455,60;4er + ZZ;             311;à;             150,20;
21.01.;;;;;;;;;;4er;           5.207;à;              49,80;3er + ZZ;           7.382;à;              15,80;3er;          87.871;à;               5,30;ZZ;         273.789;à;               1,20;
24.01.;aufsteigend;2;4;8;14;35;43;ZZ;12;6er;               1;à;       2.831.804,40;5er + ZZ;               3;à;          48.139,00;5er;              98;à;           1.607,60;4er + ZZ;             300;à;             157,50;
24.01.;;;;;;;;;;4er;           5.235;à;              50,10;3er + ZZ;           8.395;à;              14,00;3er;          90.070;à;               5,20;ZZ;         284.220;à;               1,20;
28.01.;aufsteigend;13;22;30;34;35;45;ZZ;27;6er;JP;;         818.009,60;5er + ZZ;JP;;         112.476,30;5er;              76;à;           1.614,40;4er + ZZ;             209;à;             176,10;
28.01.;;;;;;;;;;4er;           3.794;à;              53,90;3er + ZZ;           5.653;à;              16,20;3er;          64.771;à;               5,70;ZZ;         239.440;à;               1,20;
31.01.;aufsteigend;3;15;23;26;38;40;ZZ;35;6er;               2;à;         887.519,40;5er + ZZ;               7;à;          34.866,80;5er;             146;à;             983,20;4er + ZZ;             367;à;             117,30;
31.01.;;;;;;;;;;4er;           5.639;à;              42,40;3er + ZZ;           7.969;à;              13,50;3er;          85.271;à;               5,00;ZZ;         229.963;à;               1,20;
04.02.;aufsteigend;2;17;19;22;34;38;ZZ;6;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;         115.622,70;5er;             116;à;           1.087,30;4er + ZZ;             288;à;             131,30;
04.02.;;;;;;;;;;4er;           4.511;à;              46,60;3er + ZZ;           6.511;à;              14,50;3er;          71.211;à;               5,30;ZZ;         237.081;à;               1,20;
07.02.;aufsteigend;6;13;22;25;36;41;ZZ;3;6er;JP;;         702.179,60;5er + ZZ;               3;à;          32.183,20;5er;              91;à;           1.157,40;4er + ZZ;             224;à;             141,00;
07.02.;;;;;;;;;;4er;           3.306;à;              53,00;3er + ZZ;           5.534;à;              14,20;3er;          56.737;à;               5,60;ZZ;         216.728;à;               1,20;
11.02.;aufsteigend;3;12;30;34;37;40;ZZ;45;6er;               1;à;       1.711.967,80;5er + ZZ;               3;à;          46.281,90;5er;              84;à;           1.803,10;4er + ZZ;             246;à;             184,70;
11.02.;;;;;;;;;;4er;           4.973;à;              50,70;3er + ZZ;           6.534;à;              17,30;3er;          83.376;à;               5,40;ZZ;         253.761;à;               1,20;
14.02.;aufsteigend;9;10;12;28;32;40;ZZ;39;6er;JP;;         684.258,30;5er + ZZ;               2;à;          47.042,70;5er;              58;à;           1.769,60;4er + ZZ;             199;à;             154,70;
14.02.;;;;;;;;;;4er;           4.004;à;              42,70;3er + ZZ;           4.745;à;              16,20;3er;          65.837;à;               4,70;ZZ;         172.683;à;               1,20;
18.02.;aufsteigend;1;12;14;30;35;40;ZZ;29;6er;               1;à;       1.681.427,10;5er + ZZ;               2;à;          68.555,30;5er;              95;à;           1.574,40;4er + ZZ;             240;à;             186,90;
18.02.;;;;;;;;;;4er;           4.959;à;              50,20;3er + ZZ;           6.451;à;              17,30;3er;          83.000;à;               5,40;ZZ;         273.814;à;               1,20;
21.02.;aufsteigend;1;16;23;29;33;37;ZZ;42;6er;JP;;         672.696,50;5er + ZZ;               1;à;          92.495,70;5er;              57;à;           1.770,20;4er + ZZ;             193;à;             156,80;
21.02.;;;;;;;;;;4er;           3.285;à;              51,10;3er + ZZ;           4.495;à;              16,80;3er;          55.285;à;               5,50;ZZ;         164.064;à;               1,20;
25.02.;aufsteigend;1;10;11;20;32;39;ZZ;23;6er;DJP;;       1.645.198,90;5er + ZZ;               3;à;          44.573,00;5er;              97;à;           1.503,80;4er + ZZ;             310;à;             141,10;
25.02.;;;;;;;;;;4er;           5.127;à;              47,40;3er + ZZ;           7.248;à;              15,00;3er;          86.456;à;               5,00;ZZ;         249.352;à;               1,20;
28.02.;aufsteigend;3;21;22;32;36;40;ZZ;2;6er;3JP;;       2.639.487,90;5er + ZZ;JP;;         136.714,70;5er;             138;à;           1.080,70;4er + ZZ;             279;à;             160,30;
28.02.;;;;;;;;;;4er;           5.539;à;              44,80;3er + ZZ;           7.012;à;              15,90;3er;          87.052;à;               5,10;ZZ;         279.195;à;               1,20;
04.03.;aufsteigend;7;12;28;32;34;39;ZZ;33;6er;               1;à;       3.972.885,80;5er + ZZ;               2;à;         160.028,40;5er;             158;à;           1.265,80;4er + ZZ;             326;à;             184,00;
04.03.;;;;;;;;;;4er;           7.056;à;              47,20;3er + ZZ;           9.176;à;              16,30;3er;         118.078;à;               5,10;ZZ;         365.982;à;               1,20;
07.03.;aufsteigend;1;18;26;27;32;42;ZZ;16;6er;JP;;         702.887,70;5er + ZZ;               1;à;          96.647,00;5er;              53;à;           1.989,30;4er + ZZ;             175;à;             180,70;
07.03.;;;;;;;;;;4er;           3.329;à;              52,70;3er + ZZ;           4.699;à;              16,80;3er;          56.598;à;               5,60;ZZ;         177.593;à;               1,20;
11.03.;aufsteigend;3;6;10;20;28;33;ZZ;32;6er;DJP;;       1.726.220,60;5er + ZZ;               8;à;          17.588,50;5er;             193;à;             795,30;4er + ZZ;             310;à;             148,50;
11.03.;;;;;;;;;;4er;           7.637;à;              33,40;3er + ZZ;           7.239;à;              15,90;3er;         107.888;à;               4,20;ZZ;         252.598;à;               1,20;
14.03.;aufsteigend;7;10;12;35;37;38;ZZ;28;6er;3JP;;       2.745.774,60;5er + ZZ;               2;à;          70.094,30;5er;              91;à;           1.680,50;4er + ZZ;             246;à;             186,50;
14.03.;;;;;;;;;;4er;           4.808;à;              53,00;3er + ZZ;           7.486;à;              15,30;3er;          84.325;à;               5,40;ZZ;         268.822;à;               1,20;
18.03.;aufsteigend;10;13;14;24;26;33;ZZ;36;6er;4JP;;       4.105.602,20;5er + ZZ;               3;à;          62.325,40;5er;             159;à;           1.282,80;4er + ZZ;             393;à;             155,70;
18.03.;;;;;;;;;;4er;           7.605;à;              44,70;3er + ZZ;           9.700;à;              15,70;3er;         123.059;à;               5,00;ZZ;         328.457;à;               1,20;
21.03.;aufsteigend;10;23;25;32;34;44;ZZ;16;6er;               2;à;       2.812.630,40;5er + ZZ;               5;à;          41.790,60;5er;             192;à;           1.187,20;4er + ZZ;             396;à;             172,60;
21.03.;;;;;;;;;;4er;           7.955;à;              47,70;3er + ZZ;          10.488;à;              16,30;3er;         127.001;à;               5,40;ZZ;         405.706;à;               1,20;
25.03.;aufsteigend;8;9;18;28;40;44;ZZ;36;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;         110.179,50;5er;              92;à;           1.306,40;4er + ZZ;             241;à;             149,60;
