Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
20.02.;aufsteigend;9;12;21;26;29;37;ZZ;34;6er;JP;;         644.481,80;5er + ZZ;               2;à;          44.308,10;5er;              77;à;           1.255,40;4er + ZZ;             192;à;             151,00;
20.02.;;;;;;;;;;4er;           3.779;à;              42,60;3er + ZZ;           4.690;à;              15,40;3er;          59.877;à;               4,80;ZZ;         153.241;à;               1,20;
24.02.;aufsteigend;4;6;25;29;30;35;ZZ;18;6er;DJP;;       1.548.226,10;5er + ZZ;               4;à;          31.066,20;5er;             100;à;           1.355,60;4er + ZZ;             252;à;             161,30;
24.02.;;;;;;;;;;4er;           4.282;à;              52,70;3er + ZZ;           6.374;à;              15,90;3er;          74.434;à;               5,40;ZZ;         225.338;à;               1,20;
27.02.;aufsteigend;2;6;13;37;39;43;ZZ;24;6er;3JP;;       2.470.964,70;5er + ZZ;               4;à;          31.719,10;5er;             100;à;           1.384,10;4er + ZZ;             242;à;             171,50;
27.02.;;;;;;;;;;4er;           4.440;à;              51,90;3er + ZZ;           6.434;à;              16,10;3er;          77.104;à;               5,40;ZZ;         243.721;à;               1,20;
03.03.;aufsteigend;16;21;25;33;35;42;ZZ;17;6er;4JP;;       3.724.748,30;5er + ZZ;               1;à;         172.395,20;5er;             146;à;           1.288,10;4er + ZZ;             322;à;             175,20;
03.03.;;;;;;;;;;4er;           6.487;à;              48,30;3er + ZZ;           9.086;à;              15,50;3er;         106.335;à;               5,30;ZZ;         358.753;à;               1,20;
06.03.;aufsteigend;1;7;12;33;37;42;ZZ;43;6er;               2;à;       2.576.750,10;5er + ZZ;               2;à;          98.226,70;5er;             159;à;           1.347,80;4er + ZZ;             376;à;             170,90;
06.03.;;;;;;;;;;4er;           7.615;à;              46,90;3er + ZZ;           9.683;à;              16,50;3er;         123.278;à;               5,20;ZZ;         355.801;à;               1,20;
