Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
04.09.;aufsteigend;2;6;11;27;32;42;ZZ;12;6er;JP;;         659.873,50;5er + ZZ;               3;à;          30.244,20;5er;              88;à;           1.124,70;4er + ZZ;             208;à;             142,70;
04.09.;;;;;;;;;;4er;           3.820;à;              43,10;3er + ZZ;           5.931;à;              12,50;3er;          60.214;à;               4,90;ZZ;         180.794;à;               1,20;
08.09.;aufsteigend;18;23;27;28;39;45;ZZ;20;6er;DJP;;       1.563.134,10;5er + ZZ;               4;à;          31.049,50;5er;              96;à;           1.411,30;4er + ZZ;             237;à;             171,50;
08.09.;;;;;;;;;;4er;           4.705;à;              47,90;3er + ZZ;           6.057;à;              16,70;3er;          78.597;à;               5,20;ZZ;         235.526;à;               1,20;
11.09.;aufsteigend;5;7;13;15;23;30;ZZ;31;6er;3JP;;       2.486.258,70;5er + ZZ;               7;à;          18.132,80;5er;             145;à;             954,90;4er + ZZ;             306;à;             135,70;
11.09.;;;;;;;;;;4er;           6.193;à;              37,20;3er + ZZ;           7.279;à;              14,20;3er;          93.181;à;               4,40;ZZ;         216.609;à;               1,20;
15.09.;aufsteigend;1;6;15;27;29;40;ZZ;41;6er;4JP;;       3.707.731,00;5er + ZZ;               2;à;          83.976,20;5er;             173;à;           1.059,00;4er + ZZ;             360;à;             152,60;
15.09.;;;;;;;;;;4er;           7.382;à;              41,30;3er + ZZ;           8.482;à;              16,20;3er;         113.163;à;               4,80;ZZ;         298.848;à;               1,20;
18.09.;aufsteigend;12;14;21;25;32;33;ZZ;36;6er;5JP;;       5.148.766,80;5er + ZZ;               2;à;          99.071,20;5er;             151;à;           1.431,40;4er + ZZ;             405;à;             160,10;
18.09.;;;;;;;;;;4er;           7.397;à;              48,70;3er + ZZ;           9.832;à;              16,40;3er;         123.566;à;               5,20;ZZ;         349.245;à;               1,20;
22.09.;aufsteigend;3;14;23;25;32;41;ZZ;26;6er;               3;à;       2.345.548,40;5er + ZZ;              10;à;          25.958,30;5er;             259;à;           1.093,30;4er + ZZ;             573;à;             148,20;
22.09.;;;;;;;;;;4er;          10.588;à;              44,50;3er + ZZ;          13.417;à;              15,80;3er;         162.014;à;               5,20;ZZ;         522.427;à;               1,20;
25.09.;aufsteigend;5;14;21;26;29;38;ZZ;13;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;          88.656,70;5er;              97;à;             997,00;4er + ZZ;             184;à;             157,60;
25.09.;;;;;;;;;;4er;           3.819;à;              42,20;3er + ZZ;           4.641;à;              15,60;3er;          57.941;à;               5,00;ZZ;         171.083;à;               1,20;
29.09.;aufsteigend;3;4;18;19;28;32;ZZ;6;6er;JP;;         735.612,20;5er + ZZ;               5;à;          20.229,30;5er;             103;à;           1.071,20;4er + ZZ;             269;à;             123,00;
29.09.;;;;;;;;;;4er;           4.236;à;              43,40;3er + ZZ;           6.595;à;              12,50;3er;          68.149;à;               4,80;ZZ;         197.993;à;               1,20;
02.10.;aufsteigend;11;15;16;17;22;24;ZZ;27;6er;               1;à;       1.527.972,10;5er + ZZ;               5;à;          21.789,80;5er;              84;à;           1.414,90;4er + ZZ;             257;à;             138,70;
02.10.;;;;;;;;;;4er;           4.241;à;              46,70;3er + ZZ;           6.183;à;              14,40;3er;          68.160;à;               5,20;ZZ;         211.932;à;               1,20;
06.10.;aufsteigend;10;29;31;32;44;45;ZZ;33;6er;JP;;         742.030,10;5er + ZZ;               2;à;          51.014,50;5er;              72;à;           1.545,80;4er + ZZ;             209;à;             159,70;
06.10.;;;;;;;;;;4er;           3.395;à;              54,60;3er + ZZ;           5.029;à;              16,50;3er;          58.911;à;               5,60;ZZ;         201.950;à;               1,20;
09.10.;aufsteigend;3;6;16;28;33;42;ZZ;39;6er;               1;à;       1.536.261,80;5er + ZZ;               1;à;         109.206,80;5er;             119;à;           1.001,10;4er + ZZ;             270;à;             132,30;
09.10.;;;;;;;;;;4er;           5.018;à;              39,50;3er + ZZ;           6.164;à;              14,40;3er;          75.153;à;               4,70;ZZ;         198.335;à;               1,20;
13.10.;aufsteigend;9;14;17;23;26;32;ZZ;33;6er;JP;;         712.311,60;5er + ZZ;               2;à;          48.971,40;5er;              90;à;           1.187,10;4er + ZZ;             224;à;             143,00;
13.10.;;;;;;;;;;4er;           4.303;à;              41,30;3er + ZZ;           5.552;à;              14,40;3er;          66.256;à;               4,80;ZZ;         185.040;à;               1,20;
16.10.;aufsteigend;3;4;25;36;40;45;ZZ;18;6er;               1;à;       1.484.453,80;5er + ZZ;JP;;         106.169,50;5er;              64;à;           1.809,70;4er + ZZ;             184;à;             188,80;
16.10.;;;;;;;;;;4er;           3.632;à;              53,10;3er + ZZ;           5.386;à;              16,10;3er;          61.753;à;               5,60;ZZ;         192.409;à;               1,20;
20.10.;aufsteigend;1;2;3;18;26;34;ZZ;17;6er;JP;;         711.840,60;5er + ZZ;               6;à;          34.007,90;5er;              70;à;           1.525,30;4er + ZZ;             227;à;             141,10;
20.10.;;;;;;;;;;4er;           3.644;à;              48,80;3er + ZZ;           5.679;à;              14,10;3er;          65.061;à;               4,90;ZZ;         192.510;à;               1,20;
23.10.;aufsteigend;6;8;13;32;39;45;ZZ;28;6er;DJP;;       1.467.809,20;5er + ZZ;               3;à;          34.648,50;5er;              74;à;           1.532,30;4er + ZZ;             205;à;             165,90;
23.10.;;;;;;;;;;4er;           3.824;à;              49,40;3er + ZZ;           5.951;à;              14,20;3er;          64.438;à;               5,30;ZZ;         201.344;à;               1,20;
27.10.;aufsteigend;9;26;28;32;35;43;ZZ;25;6er;               1;à;       2.365.785,10;5er + ZZ;               3;à;          41.157,20;5er;             113;à;           1.192,00;4er + ZZ;             212;à;             190,60;
27.10.;;;;;;;;;;4er;           5.209;à;              43,00;3er + ZZ;           5.792;à;              17,40;3er;          80.566;à;               5,00;ZZ;         225.305;à;               1,20;
30.10.;aufsteigend;4;11;12;15;20;42;ZZ;14;6er;JP;;         614.527,20;5er + ZZ;               2;à;          42.248,70;5er;              87;à;           1.059,50;4er + ZZ;             168;à;             164,60;
30.10.;;;;;;;;;;4er;           3.415;à;              44,90;3er + ZZ;           4.212;à;              16,40;3er;          57.836;à;               4,80;ZZ;         153.518;à;               1,20;
03.11.;aufsteigend;15;16;22;24;27;33;ZZ;17;6er;DJP;;       1.455.614,90;5er + ZZ;               2;à;          57.824,70;5er;              83;à;           1.520,00;4er + ZZ;             315;à;             120,10;
03.11.;;;;;;;;;;4er;           4.720;à;              44,50;3er + ZZ;           6.379;à;              14,80;3er;          76.463;à;               4,90;ZZ;         233.464;à;               1,20;
06.11.;aufsteigend;6;16;17;34;38;40;ZZ;28;6er;3JP;;       2.377.384,90;5er + ZZ;               2;à;          63.371,60;5er;              87;à;           1.589,20;4er + ZZ;             290;à;             143,00;
06.11.;;;;;;;;;;4er;           4.541;à;              50,70;3er + ZZ;           7.231;à;              14,30;3er;          76.427;à;               5,40;ZZ;         250.987;à;               1,20;
10.11.;aufsteigend;2;9;10;19;29;40;ZZ;3;6er;4JP;;       3.552.412,60;5er + ZZ;               3;à;          53.855,40;5er;             200;à;             881,20;4er + ZZ;             451;à;             117,20;
10.11.;;;;;;;;;;4er;           7.791;à;              37,70;3er + ZZ;          10.717;à;              12,30;3er;         113.630;à;               4,60;ZZ;         333.162;à;               1,20;
13.11.;aufsteigend;4;27;33;34;41;45;ZZ;42;6er;5JP;;       4.823.263,40;5er + ZZ;               1;à;         174.741,90;5er;             150;à;           1.270,80;4er + ZZ;             261;à;             219,10;
13.11.;;;;;;;;;;4er;           6.571;à;              48,30;3er + ZZ;           8.256;à;              17,30;3er;         109.853;à;               5,20;ZZ;         311.501;à;               1,20;
17.11.;aufsteigend;2;15;23;28;33;34;ZZ;19;6er;               1;à;       6.552.614,70;5er + ZZ;               3;à;          79.261,90;5er;             233;à;           1.113,30;4er + ZZ;             480;à;             162,10;
17.11.;;;;;;;;;;4er;           9.764;à;              44,20;3er + ZZ;          12.456;à;              15,60;3er;         153.457;à;               5,00;ZZ;         462.411;à;               1,20;
20.11.;aufsteigend;7;11;13;15;22;27;ZZ;2;6er;JP;;         639.464,40;5er + ZZ;               7;à;          12.560,90;5er;             121;à;             792,70;4er + ZZ;             330;à;              87,10;
20.11.;;;;;;;;;;4er;           4.534;à;              35,20;3er + ZZ;           6.455;à;              11,10;3er;          67.223;à;               4,30;ZZ;         164.198;à;               1,20;
24.11.;aufsteigend;3;9;15;18;26;29;ZZ;28;6er;               1;à;       1.527.069,10;5er + ZZ;               4;à;          30.511,40;5er;             144;à;             924,50;4er + ZZ;             319;à;             125,20;
24.11.;;;;;;;;;;4er;           6.200;à;              35,70;3er + ZZ;           7.787;à;              12,80;3er;          90.841;à;               4,40;ZZ;         233.574;à;               1,20;
27.11.;aufsteigend;2;7;17;23;39;43;ZZ;18;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          43.338,20;5er;             101;à;             936,10;4er + ZZ;             185;à;             153,30;
27.11.;;;;;;;;;;4er;           4.060;à;              38,80;3er + ZZ;           4.287;à;              16,50;3er;          60.790;à;               4,60;ZZ;         159.036;à;               1,20;
01.12.;aufsteigend;4;9;20;22;32;37;ZZ;39;6er;JP;;         751.970,50;5er + ZZ;               1;à;         103.395,90;5er;              92;à;           1.226,00;4er + ZZ;             204;à;             165,80;
01.12.;;;;;;;;;;4er;           3.906;à;              48,10;3er + ZZ;           4.980;à;              16,90;3er;          65.619;à;               5,10;ZZ;         193.410;à;               1,20;
04.12.;aufsteigend;2;7;9;32;36;43;ZZ;31;6er;DJP;;       1.558.099,30;5er + ZZ;               1;à;         110.842,70;5er;              84;à;           1.439,50;4er + ZZ;             193;à;             187,90;
04.12.;;;;;;;;;;4er;           4.131;à;              48,70;3er + ZZ;           5.014;à;              18,00;3er;          70.283;à;               5,10;ZZ;         195.965;à;               1,20;
08.12.;aufsteigend;8;27;30;40;42;43;ZZ;9;6er;3JP;;       2.591.333,80;5er + ZZ;               2;à;          71.034,80;5er;             118;à;           1.313,40;4er + ZZ;             268;à;             173,40;
08.12.;;;;;;;;;;4er;           5.268;à;              49,00;3er + ZZ;           7.383;à;              15,70;3er;          88.832;à;               5,20;ZZ;         307.027;à;               1,20;
11.12.;aufsteigend;2;8;18;26;35;43;ZZ;40;6er;               1;à;       3.697.632,90;5er + ZZ;               4;à;          38.029,00;5er;             126;à;           1.317,00;4er + ZZ;             280;à;             177,70;
11.12.;;;;;;;;;;4er;           6.066;à;              45,50;3er + ZZ;           7.468;à;              16,60;3er;          96.879;à;               5,10;ZZ;         275.891;à;               1,20;
15.12.;aufsteigend;8;11;16;33;38;45;ZZ;42;6er;               1;à;       1.000.000,00;5er + ZZ;               6;à;          17.417,00;5er;             112;à;           1.017,80;4er + ZZ;             190;à;             180,00;
15.12.;;;;;;;;;;4er;           4.195;à;              45,20;3er + ZZ;           5.293;à;              16,10;3er;          67.874;à;               5,00;ZZ;         181.242;à;               1,20;
18.12.;aufsteigend;1;8;11;17;32;34;ZZ;45;6er;JP;;         669.361,10;5er + ZZ;               2;à;          46.018,50;5er;              60;à;           1.673,40;4er + ZZ;             203;à;             148,30;
18.12.;;;;;;;;;;4er;           3.627;à;              46,10;3er + ZZ;           4.862;à;              15,40;3er;          61.990;à;               4,80;ZZ;         162.305;à;               1,20;
22.12.;aufsteigend;7;8;9;22;25;37;ZZ;23;6er;DJP;;       1.653.727,30;5er + ZZ;               2;à;          67.675,10;5er;             128;à;           1.153,50;4er + ZZ;             258;à;             171,60;
22.12.;;;;;;;;;;4er;           5.520;à;              44,50;3er + ZZ;           6.935;à;              15,90;3er;          89.803;à;               4,90;ZZ;         251.783;à;               1,20;
25.12.;aufsteigend;6;27;32;33;38;40;ZZ;21;6er;3JP;;       2.623.677,00;5er + ZZ;               1;à;         133.368,00;5er;              90;à;           1.616,50;4er + ZZ;             260;à;             167,80;
25.12.;;;;;;;;;;4er;           4.594;à;              52,70;3er + ZZ;           6.732;à;              16,20;3er;          80.133;à;               5,40;ZZ;         263.646;à;               1,20;
29.12.;aufsteigend;3;20;22;27;31;33;ZZ;38;6er;4JP;;       3.754.385,80;5er + ZZ;               1;à;         155.472,40;5er;             114;à;           1.487,70;4er + ZZ;             326;à;             156,00;
29.12.;;;;;;;;;;4er;           6.082;à;              46,40;3er + ZZ;           7.786;à;              16,30;3er;         103.426;à;               4,90;ZZ;         268.595;à;               1,20;
