Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
01.01.;aufsteigend;4;15;24;27;39;41;ZZ;33;6er;               1;à;       2.022.895,20;5er + ZZ;               4;à;          44.451,00;5er;             175;à;           1.108,30;4er + ZZ;             420;à;             138,50;
01.01.;;;;;;;;;;4er;           7.546;à;              42,80;3er + ZZ;          10.283;à;              14,10;3er;         112.911;à;               5,10;ZZ;         348.223;à;               1,20;
04.01.;aufsteigend;8;9;34;39;41;45;ZZ;26;6er;JP;;         770.961,60;5er + ZZ;               3;à;          35.335,70;5er;              88;à;           1.314,10;4er + ZZ;             209;à;             165,90;
04.01.;;;;;;;;;;4er;           3.808;à;              50,60;3er + ZZ;           5.737;à;              15,10;3er;          63.363;à;               5,50;ZZ;         206.756;à;               1,20;
08.01.;aufsteigend;4;27;29;30;39;42;ZZ;15;6er;               1;à;       1.818.008,50;5er + ZZ;               1;à;         143.968,90;5er;             117;à;           1.342,30;4er + ZZ;             394;à;             119,50;
08.01.;;;;;;;;;;4er;           5.503;à;              47,50;3er + ZZ;           8.695;à;              13,50;3er;          91.460;à;               5,10;ZZ;         265.143;à;               1,20;
11.01.;aufsteigend;4;10;13;20;26;30;ZZ;18;6er;JP;;         750.465,30;5er + ZZ;JP;;         103.188,90;5er;             126;à;             893,40;4er + ZZ;             272;à;             124,10;
11.01.;;;;;;;;;;4er;           5.192;à;              36,10;3er + ZZ;           6.162;à;              13,70;3er;          75.871;à;               4,40;ZZ;         182.864;à;               1,20;
15.01.;aufsteigend;21;26;30;32;35;42;ZZ;9;6er;DJP;;       1.911.533,50;5er + ZZ;               1;à;         262.835,80;5er;             106;à;           1.643,00;4er + ZZ;             359;à;             145,50;
15.01.;;;;;;;;;;4er;           5.519;à;              52,50;3er + ZZ;           8.657;à;              15,00;3er;          96.678;à;               5,40;ZZ;         349.144;à;               1,20;
18.01.;aufsteigend;1;8;13;24;33;37;ZZ;3;6er;3JP;;       3.097.591,80;5er + ZZ;               4;à;          40.770,70;5er;             111;à;           1.602,70;4er + ZZ;             344;à;             155,10;
18.01.;;;;;;;;;;4er;           6.069;à;              48,80;3er + ZZ;           9.877;à;              13,50;3er;         100.126;à;               5,30;ZZ;         344.779;à;               1,20;
22.01.;aufsteigend;12;25;28;39;41;43;ZZ;44;6er;4JP;;       4.612.223,70;5er + ZZ;               8;à;          26.032,70;5er;             158;à;           1.437,90;4er + ZZ;             417;à;             163,40;
22.01.;;;;;;;;;;4er;           7.864;à;              48,10;3er + ZZ;           9.959;à;              17,10;3er;         126.153;à;               5,40;ZZ;         383.260;à;               1,20;
25.01.;aufsteigend;3;7;34;35;36;39;ZZ;30;6er;               2;à;       3.185.928,30;5er + ZZ;               7;à;          34.564,20;5er;             164;à;           1.609,40;4er + ZZ;             463;à;             171,00;
25.01.;;;;;;;;;;4er;           9.269;à;              47,40;3er + ZZ;          11.963;à;              16,50;3er;         152.450;à;               5,20;ZZ;         457.362;à;               1,20;
29.01.;aufsteigend;8;11;15;22;24;25;ZZ;3;6er;               1;à;       1.000.000,00;5er + ZZ;               6;à;          20.077,50;5er;             128;à;           1.026,60;4er + ZZ;             391;à;             100,80;
29.01.;;;;;;;;;;4er;           5.418;à;              40,40;3er + ZZ;           8.537;à;              11,50;3er;          82.362;à;               4,80;ZZ;         256.981;à;               1,20;
01.02.;aufsteigend;14;20;24;26;31;36;ZZ;35;6er;JP;;         754.968,40;5er + ZZ;               1;à;         103.808,10;5er;              62;à;           1.826,50;4er + ZZ;             167;à;             203,40;
01.02.;;;;;;;;;;4er;           3.244;à;              58,10;3er + ZZ;           4.276;à;              19,80;3er;          58.218;à;               5,80;ZZ;         184.660;à;               1,20;
05.02.;aufsteigend;6;7;30;32;41;44;ZZ;19;6er;               1;à;       1.922.613,30;5er + ZZ;               4;à;          40.137,70;5er;             115;à;           1.523,00;4er + ZZ;             282;à;             186,30;
05.02.;;;;;;;;;;4er;           5.523;à;              52,80;3er + ZZ;           8.325;à;              15,70;3er;          95.120;à;               5,50;ZZ;         310.612;à;               1,20;
08.02.;aufsteigend;3;9;12;16;19;27;ZZ;26;6er;               2;à;         500.000,00;5er + ZZ;               5;à;          20.623,70;5er;             198;à;             568,10;4er + ZZ;             339;à;              99,50;
08.02.;;;;;;;;;;4er;           6.791;à;              27,60;3er + ZZ;           7.321;à;              11,50;3er;          88.431;à;               3,80;ZZ;         194.603;à;               1,20;
12.02.;aufsteigend;9;10;25;36;38;40;ZZ;4;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          59.308,00;5er;              90;à;           1.437,70;4er + ZZ;             207;à;             187,50;
12.02.;;;;;;;;;;4er;           3.920;à;              55,00;3er + ZZ;           5.877;à;              16,50;3er;          68.932;à;               5,60;ZZ;         245.604;à;               1,20;
15.02.;aufsteigend;8;11;33;35;38;42;ZZ;16;6er;               1;à;       1.000.000,00;5er + ZZ;               3;à;          34.195,80;5er;              85;à;           1.316,60;4er + ZZ;             243;à;             138,10;
15.02.;;;;;;;;;;4er;           3.967;à;              47,00;3er + ZZ;           5.487;à;              15,20;3er;          63.614;à;               5,30;ZZ;         194.541;à;               1,20;
19.02.;aufsteigend;12;23;24;31;34;43;ZZ;29;6er;JP;;         863.525,70;5er + ZZ;               5;à;          23.746,90;5er;              82;à;           1.579,60;4er + ZZ;             220;à;             176,60;
19.02.;;;;;;;;;;4er;           4.130;à;              52,20;3er + ZZ;           5.424;à;              17,90;3er;          69.525;à;               5,60;ZZ;         239.152;à;               1,20;
22.02.;aufsteigend;12;17;19;30;39;44;ZZ;42;6er;DJP;;       1.821.643,70;5er + ZZ;               1;à;         131.741,20;5er;              88;à;           1.633,10;4er + ZZ;             252;à;             171,00;
22.02.;;;;;;;;;;4er;           5.016;à;              47,70;3er + ZZ;           6.582;à;              16,30;3er;          83.240;à;               5,20;ZZ;         228.992;à;               1,20;
26.02.;aufsteigend;1;15;16;19;22;42;ZZ;18;6er;3JP;;       3.062.633,40;5er + ZZ;               2;à;          85.318,00;5er;             124;à;           1.501,10;4er + ZZ;             291;à;             191,90;
26.02.;;;;;;;;;;4er;           5.851;à;              53,00;3er + ZZ;           7.911;à;              17,60;3er;         103.680;à;               5,40;ZZ;         323.694;à;               1,20;
01.03.;aufsteigend;1;2;10;17;24;41;ZZ;45;6er;               1;à;       4.485.804,20;5er + ZZ;               3;à;          65.228,60;5er;             156;à;           1.368,40;4er + ZZ;             404;à;             158,50;
01.03.;;;;;;;;;;4er;           7.841;à;              45,30;3er + ZZ;          10.391;à;              15,40;3er;         128.612;à;               5,00;ZZ;         355.152;à;               1,20;
05.03.;aufsteigend;9;20;22;27;40;45;ZZ;4;6er;               1;à;       1.000.000,00;5er + ZZ;               4;à;          30.335,70;5er;             121;à;           1.094,00;4er + ZZ;             295;à;             134,60;
05.03.;;;;;;;;;;4er;           5.077;à;              43,40;3er + ZZ;           7.209;à;              13,70;3er;          81.794;à;               4,80;ZZ;         243.139;à;               1,20;
08.03.;aufsteigend;9;13;19;21;27;29;ZZ;7;6er;JP;;         740.998,30;5er + ZZ;              10;à;          10.188,70;5er;             131;à;             848,40;4er + ZZ;             499;à;              66,80;
08.03.;;;;;;;;;;4er;           5.182;à;              35,70;3er + ZZ;           9.172;à;               9,00;3er;          76.279;à;               4,30;ZZ;         201.736;à;               1,20;
12.03.;aufsteigend;8;12;18;24;25;44;ZZ;19;6er;DJP;;       1.857.718,00;5er + ZZ;               5;à;          30.709,70;5er;             114;à;           1.469,30;4er + ZZ;             339;à;             148,20;
12.03.;;;;;;;;;;4er;           6.268;à;              44,50;3er + ZZ;           8.229;à;              15,20;3er;         100.204;à;               5,00;ZZ;         299.963;à;               1,20;
15.03.;aufsteigend;1;14;18;27;30;40;ZZ;12;6er;3JP;;       3.034.710,30;5er + ZZ;               6;à;          26.972,70;5er;             170;à;           1.038,50;4er + ZZ;             315;à;             168,10;
15.03.;;;;;;;;;;4er;           6.338;à;              46,40;3er + ZZ;           8.762;à;              15,10;3er;         100.641;à;               5,20;ZZ;         324.667;à;               1,20;
19.03.;aufsteigend;5;11;16;19;27;33;ZZ;39;6er;               2;à;       2.274.690,30;5er + ZZ;               6;à;          34.711,10;5er;             233;à;             975,10;4er + ZZ;             564;à;             120,80;
19.03.;;;;;;;;;;4er;           9.928;à;              38,10;3er + ZZ;          12.386;à;              13,70;3er;         151.665;à;               4,50;ZZ;         377.270;à;               1,20;
22.03.;aufsteigend;14;23;32;38;44;45;ZZ;33;6er;JP;;         746.590,50;5er + ZZ;               2;à;          51.328,10;5er;              86;à;           1.302,10;4er + ZZ;             220;à;             152,70;
22.03.;;;;;;;;;;4er;           3.758;à;              49,60;3er + ZZ;           5.087;à;              16,50;3er;          57.661;à;               5,80;ZZ;         202.239;à;               1,20;
26.03.;aufsteigend;3;24;28;37;40;42;ZZ;27;6er;DJP;;       1.838.941,60;5er + ZZ;               2;à;          75.099,10;5er;             122;à;           1.343,00;4er + ZZ;             295;à;             166,60;
26.03.;;;;;;;;;;4er;           5.322;à;              51,30;3er + ZZ;           7.848;à;              15,60;3er;          90.634;à;               5,40;ZZ;         319.343;à;               1,20;
