Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
29.03.;aufsteigend;5;28;32;33;34;43;ZZ;36;6er;               1;à;       2.970.846,00;5er + ZZ;               1;à;         155.636,80;5er;             104;à;           1.632,50;4er + ZZ;             317;à;             160,60;
29.03.;;;;;;;;;;4er;           5.655;à;              50,00;3er + ZZ;           8.248;à;              15,40;3er;          95.231;à;               5,30;ZZ;         274.353;à;               1,20;
02.04.;aufsteigend;2;3;19;31;34;39;ZZ;16;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;         119.924,60;5er;              65;à;           2.012,70;4er + ZZ;             214;à;             183,40;
02.04.;;;;;;;;;;4er;           3.994;à;              54,50;3er + ZZ;           6.156;à;              15,90;3er;          73.280;à;               5,30;ZZ;         224.787;à;               1,20;
05.04.;aufsteigend;4;8;22;25;26;31;ZZ;13;6er;JP;;         724.911,10;5er + ZZ;               4;à;          24.918,80;5er;              90;à;           1.208,10;4er + ZZ;             267;à;             122,10;
05.04.;;;;;;;;;;4er;           4.173;à;              43,40;3er + ZZ;           6.127;à;              13,30;3er;          66.824;à;               4,90;ZZ;         188.654;à;               1,20;
09.04.;aufsteigend;3;13;19;29;40;43;ZZ;4;6er;DJP;;       1.807.674,80;5er + ZZ;               5;à;          29.775,90;5er;             143;à;           1.135,70;4er + ZZ;             320;à;             152,20;
09.04.;;;;;;;;;;4er;           6.167;à;              43,80;3er + ZZ;           8.246;à;              14,70;3er;          98.072;à;               4,90;ZZ;         303.954;à;               1,20;
12.04.;aufsteigend;2;6;13;30;35;44;ZZ;1;6er;               1;à;       2.938.442,10;5er + ZZ;               2;à;          77.740,20;5er;             117;à;           1.449,70;4er + ZZ;             271;à;             187,70;
12.04.;;;;;;;;;;4er;           5.723;à;              49,30;3er + ZZ;           7.763;à;              16,30;3er;          96.433;à;               5,30;ZZ;         298.684;à;               1,20;
16.04.;aufsteigend;3;7;20;31;39;43;ZZ;19;6er;               1;à;       1.000.000,00;5er + ZZ;               5;à;          24.206,30;5er;             117;à;           1.128,50;4er + ZZ;             298;à;             132,90;
16.04.;;;;;;;;;;4er;           5.376;à;              40,90;3er + ZZ;           7.315;à;              13,50;3er;          80.375;à;               4,90;ZZ;         233.371;à;               1,20;
19.04.;aufsteigend;10;18;25;30;33;41;ZZ;45;6er;               1;à;       1.000.000,00;5er + ZZ;               3;à;          29.970,60;5er;              86;à;           1.140,50;4er + ZZ;             224;à;             131,30;
19.04.;;;;;;;;;;4er;           3.592;à;              45,50;3er + ZZ;           4.544;à;              16,10;3er;          55.339;à;               5,30;ZZ;         165.603;à;               1,20;
23.04.;aufsteigend;1;4;10;21;32;44;ZZ;12;6er;JP;;         823.699,30;5er + ZZ;               2;à;          56.629,30;5er;             111;à;           1.113,10;4er + ZZ;             244;à;             151,90;
23.04.;;;;;;;;;;4er;           4.682;à;              43,90;3er + ZZ;           6.712;à;              13,80;3er;          73.345;à;               5,00;ZZ;         225.367;à;               1,20;
26.04.;aufsteigend;5;6;11;19;27;44;ZZ;17;6er;DJP;;       1.745.716,40;5er + ZZ;               4;à;          31.694,30;5er;             152;à;             909,80;4er + ZZ;             398;à;             104,20;
26.04.;;;;;;;;;;4er;           6.755;à;              34,10;3er + ZZ;           8.621;à;              12,00;3er;          95.164;à;               4,30;ZZ;         243.453;à;               1,20;
30.04.;aufsteigend;20;28;30;32;40;41;ZZ;19;6er;3JP;;       3.004.992,50;5er + ZZ;               7;à;          24.735,70;5er;             189;à;             999,40;4er + ZZ;             434;à;             130,50;
30.04.;;;;;;;;;;4er;           7.339;à;              42,80;3er + ZZ;           8.221;à;              17,20;3er;         109.314;à;               5,20;ZZ;         360.001;à;               1,20;
03.05.;aufsteigend;3;8;27;32;42;43;ZZ;15;6er;4JP;;       4.271.130,00;5er + ZZ;               4;à;          43.523,40;5er;             115;à;           1.651,40;4er + ZZ;             390;à;             146,00;
03.05.;;;;;;;;;;4er;           6.961;à;              45,40;3er + ZZ;           9.737;à;              14,60;3er;         114.180;à;               5,00;ZZ;         326.401;à;               1,20;
07.05.;aufsteigend;12;16;32;37;42;45;ZZ;29;6er;               3;à;       2.034.734,50;5er + ZZ;               5;à;          50.409,50;5er;             174;à;           1.580,20;4er + ZZ;             480;à;             171,80;
07.05.;;;;;;;;;;4er;           9.015;à;              50,80;3er + ZZ;          12.778;à;              16,10;3er;         149.581;à;               5,50;ZZ;         495.693;à;               1,20;
10.05.;aufsteigend;1;5;16;29;35;39;ZZ;45;6er;               1;à;       1.000.000,00;5er + ZZ;JP;;         100.403,00;5er;              86;à;           1.273,60;4er + ZZ;             193;à;             170,20;
10.05.;;;;;;;;;;4er;           3.832;à;              47,60;3er + ZZ;           5.404;à;              15,20;3er;          63.597;à;               5,10;ZZ;         177.856;à;               1,20;
14.05.;aufsteigend;5;8;9;32;33;35;ZZ;2;6er;JP;;         855.261,30;5er + ZZ;               4;à;          54.500,30;5er;              92;à;           1.394,40;4er + ZZ;             225;à;             171,00;
14.05.;;;;;;;;;;4er;           4.627;à;              46,20;3er + ZZ;           6.478;à;              14,80;3er;          78.361;à;               4,90;ZZ;         224.305;à;               1,20;
17.05.;aufsteigend;6;17;20;24;25;34;ZZ;16;6er;DJP;;       1.782.264,40;5er + ZZ;               3;à;          42.487,60;5er;             117;à;           1.188,40;4er + ZZ;             282;à;             147,90;
17.05.;;;;;;;;;;4er;           5.065;à;              45,70;3er + ZZ;           6.443;à;              16,10;3er;          79.570;à;               5,20;ZZ;         244.566;à;               1,20;
21.05.;aufsteigend;12;25;26;27;29;35;ZZ;19;6er;               1;à;       3.004.829,00;5er + ZZ;               4;à;          42.025,60;5er;             120;à;           1.528,20;4er + ZZ;             303;à;             181,50;
21.05.;;;;;;;;;;4er;           6.367;à;              48,00;3er + ZZ;           8.854;à;              15,50;3er;         104.924;à;               5,20;ZZ;         331.375;à;               1,20;
24.05.;aufsteigend;8;13;28;29;31;40;ZZ;25;6er;               1;à;       1.000.000,00;5er + ZZ;               1;à;         102.075,80;5er;              96;à;           1.159,90;4er + ZZ;             183;à;             182,50;
24.05.;;;;;;;;;;4er;           3.986;à;              46,50;3er + ZZ;           4.859;à;              17,10;3er;          64.639;à;               5,10;ZZ;         180.196;à;               1,20;
28.05.;aufsteigend;16;20;23;33;37;44;ZZ;26;6er;JP;;         779.386,90;5er + ZZ;               2;à;          53.582,80;5er;             105;à;           1.113,40;4er + ZZ;             203;à;             172,70;
28.05.;;;;;;;;;;4er;           4.027;à;              48,30;3er + ZZ;           5.038;à;              17,40;3er;          62.195;à;               5,60;ZZ;         222.867;à;               1,20;
31.05.;aufsteigend;3;10;11;13;28;43;ZZ;5;6er;DJP;;       1.691.292,60;5er + ZZ;               6;à;          20.897,80;5er;             136;à;           1.005,70;4er + ZZ;             390;à;             105,20;
31.05.;;;;;;;;;;4er;           5.973;à;              38,10;3er + ZZ;           9.262;à;              11,00;3er;          90.839;à;               4,50;ZZ;         248.233;à;               1,20;
04.06.;aufsteigend;6;14;30;37;42;43;ZZ;13;6er;3JP;;       2.929.168,10;5er + ZZ;               2;à;          85.103,90;5er;             131;à;           1.417,40;4er + ZZ;             300;à;             185,60;
04.06.;;;;;;;;;;4er;           5.863;à;              52,70;3er + ZZ;           7.873;à;              17,60;3er;          97.859;à;               5,70;ZZ;         336.832;à;               1,20;
07.06.;aufsteigend;1;6;10;12;33;34;ZZ;19;6er;               1;à;       4.175.210,80;5er + ZZ;               6;à;          28.555,10;5er;             158;à;           1.182,90;4er + ZZ;             473;à;             118,50;
07.06.;;;;;;;;;;4er;           7.113;à;              43,70;3er + ZZ;          10.880;à;              12,80;3er;         113.957;à;               4,90;ZZ;         322.673;à;               1,20;
11.06.;aufsteigend;2;6;21;27;34;45;ZZ;16;6er;JP;;         843.894,30;5er + ZZ;               2;à;          58.017,70;5er;              98;à;           1.291,60;4er + ZZ;             282;à;             134,60;
11.06.;;;;;;;;;;4er;           4.706;à;              44,80;3er + ZZ;           6.720;à;              14,10;3er;          76.912;à;               4,90;ZZ;         213.162;à;               1,20;
14.06.;aufsteigend;7;12;17;27;37;45;ZZ;25;6er;               2;à;         905.200,30;5er + ZZ;               3;à;          44.298,20;5er;             386;à;             375,50;4er + ZZ;             316;à;             137,60;
14.06.;;;;;;;;;;4er;           7.861;à;              30,70;3er + ZZ;           6.989;à;              15,50;3er;          92.968;à;               4,70;ZZ;         231.154;à;               1,20;
18.06.;aufsteigend;1;6;18;22;31;33;ZZ;41;6er;JP;;         793.607,90;5er + ZZ;               1;à;         109.121,00;5er;              80;à;           1.488,00;4er + ZZ;             214;à;             166,80;
18.06.;;;;;;;;;;4er;           4.382;à;              45,20;3er + ZZ;           5.390;à;              16,50;3er;          70.421;à;               5,00;ZZ;         191.953;à;               1,20;
21.06.;aufsteigend;9;10;12;14;44;45;ZZ;6;6er;DJP;;       1.714.970,50;5er + ZZ;               5;à;          25.337,40;5er;             108;à;           1.279,60;4er + ZZ;             319;à;             129,90;
21.06.;;;;;;;;;;4er;           4.737;à;              48,60;3er + ZZ;           7.851;à;              13,20;3er;          79.130;à;               5,20;ZZ;         244.285;à;               1,20;
25.06.;aufsteigend;4;17;18;24;36;41;ZZ;38;6er;3JP;;       2.872.635,40;5er + ZZ;JP;;         159.178,90;5er;             152;à;           1.142,40;4er + ZZ;             378;à;             137,80;
25.06.;;;;;;;;;;4er;           6.164;à;              46,90;3er + ZZ;           8.802;à;              14,70;3er;          98.546;à;               5,30;ZZ;         278.180;à;               1,20;
28.06.;aufsteigend;5;13;16;31;34;39;ZZ;6;6er;               1;à;       4.159.887,10;5er + ZZ;               2;à;         168.088,00;5er;             147;à;           1.313,50;4er + ZZ;             321;à;             180,40;
28.06.;;;;;;;;;;4er;           6.803;à;              47,30;3er + ZZ;           8.901;à;              16,20;3er;         110.771;à;               5,20;ZZ;         367.511;à;               1,20;
02.07.;aufsteigend;1;7;16;18;21;22;ZZ;2;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          59.430,90;5er;              94;à;           1.379,40;4er + ZZ;             295;à;             131,80;
02.07.;;;;;;;;;;4er;           4.876;à;              44,30;3er + ZZ;           7.041;à;              13,80;3er;          77.924;à;               5,00;ZZ;         224.613;à;               1,20;
05.07.;aufsteigend;11;19;27;35;37;38;ZZ;10;6er;JP;;         712.545,60;5er + ZZ;               4;à;          24.493,70;5er;             105;à;           1.017,90;4er + ZZ;             195;à;             164,40;
05.07.;;;;;;;;;;4er;           4.003;à;              44,50;3er + ZZ;           5.138;à;              15,60;3er;          62.414;à;               5,10;ZZ;         215.196;à;               1,20;
09.07.;aufsteigend;7;8;21;30;33;44;ZZ;37;6er;DJP;;       1.752.825,40;5er + ZZ;               3;à;          47.679,40;5er;             114;à;           1.368,70;4er + ZZ;             304;à;             153,90;
09.07.;;;;;;;;;;4er;           6.105;à;              42,50;3er + ZZ;           7.026;à;              16,60;3er;          97.663;à;               4,80;ZZ;         235.728;à;               1,20;
12.07.;aufsteigend;2;10;17;21;25;45;ZZ;29;6er;3JP;;       2.820.022,60;5er + ZZ;               3;à;          48.913,20;5er;             133;à;           1.203,60;4er + ZZ;             327;à;             146,80;
12.07.;;;;;;;;;;4er;           6.401;à;              41,60;3er + ZZ;           8.377;à;              14,30;3er;          98.353;à;               4,90;ZZ;         278.487;à;               1,20;
16.07.;aufsteigend;12;14;18;23;28;37;ZZ;39;6er;               3;à;       1.422.810,90;5er + ZZ;               3;à;          66.385,40;5er;             171;à;           1.270,50;4er + ZZ;             366;à;             178,00;
16.07.;;;;;;;;;;4er;           7.591;à;              47,70;3er + ZZ;           9.789;à;              16,60;3er;         124.321;à;               5,20;ZZ;         381.293;à;               1,20;
19.07.;aufsteigend;4;6;16;34;36;43;ZZ;32;6er;               1;à;       1.000.000,00;5er + ZZ;JP;;          96.949,40;5er;              79;à;           1.338,70;4er + ZZ;             240;à;             132,20;
19.07.;;;;;;;;;;4er;           3.752;à;              46,90;3er + ZZ;           4.956;à;              16,00;3er;          59.786;à;               5,30;ZZ;         172.998;à;               1,20;
23.07.;aufsteigend;17;23;24;30;32;34;ZZ;21;6er;JP;;         812.553,20;5er + ZZ;               3;à;          69.558,50;5er;              76;à;           1.603,70;4er + ZZ;             221;à;             165,40;
23.07.;;;;;;;;;;4er;           3.740;à;              54,30;3er + ZZ;           5.740;à;              15,90;3er;          65.329;à;               5,60;ZZ;         225.166;à;               1,20;
26.07.;aufsteigend;1;17;23;24;30;44;ZZ;11;6er;DJP;;       1.725.108,90;5er + ZZ;               5;à;          25.095,20;5er;              94;à;           1.456,20;4er + ZZ;             268;à;             153,20;
26.07.;;;;;;;;;;4er;           4.534;à;              50,30;3er + ZZ;           6.687;à;              15,30;3er;          73.711;à;               5,60;ZZ;         258.811;à;               1,20;
30.07.;aufsteigend;8;12;19;24;35;44;ZZ;22;6er;3JP;;       2.904.326,00;5er + ZZ;               4;à;          40.535,50;5er;             168;à;           1.052,80;4er + ZZ;             390;à;             136,00;
30.07.;;;;;;;;;;4er;           6.775;à;              43,50;3er + ZZ;           9.089;à;              14,50;3er;         105.470;à;               5,00;ZZ;         311.201;à;               1,20;
02.08.;aufsteigend;7;8;29;34;37;41;ZZ;24;6er;               1;à;       4.218.113,00;5er + ZZ;               2;à;          90.322,80;5er;             119;à;           1.656,00;4er + ZZ;             330;à;             179,10;
02.08.;;;;;;;;;;4er;           6.458;à;              50,80;3er + ZZ;           8.685;à;              17,00;3er;         109.657;à;               5,40;ZZ;         335.677;à;               1,20;
06.08.;aufsteigend;4;15;16;19;27;39;ZZ;43;6er;JP;;         826.548,60;5er + ZZ;               5;à;          22.730,00;5er;             115;à;           1.078,10;4er + ZZ;             249;à;             149,30;
06.08.;;;;;;;;;;4er;           5.229;à;              39,50;3er + ZZ;           6.392;à;              14,50;3er;          80.216;à;               4,60;ZZ;         196.078;à;               1,20;
09.08.;aufsteigend;3;10;25;36;39;42;ZZ;31;6er;DJP;;       1.770.277,60;5er + ZZ;               1;à;         129.762,70;5er;             142;à;             996,80;4er + ZZ;             218;à;             194,80;
09.08.;;;;;;;;;;4er;           5.088;à;              46,30;3er + ZZ;           6.190;à;              17,10;3er;          82.046;à;               5,20;ZZ;         227.044;à;               1,20;
13.08.;aufsteigend;5;7;18;29;32;38;ZZ;43;6er;               1;à;       2.969.016,30;5er + ZZ;              10;à;          16.482,60;5er;             148;à;           1.214,90;4er + ZZ;             393;à;             137,20;
13.08.;;;;;;;;;;4er;           6.503;à;              46,00;3er + ZZ;           8.396;à;              16,00;3er;         105.179;à;               5,10;ZZ;         295.317;à;               1,20;
16.08.;aufsteigend;21;22;23;26;28;34;ZZ;8;6er;JP;;         677.463,70;5er + ZZ;               2;à;          46.575,60;5er;             101;à;           1.006,10;4er + ZZ;             190;à;             160,40;
16.08.;;;;;;;;;;4er;           3.748;à;              45,10;3er + ZZ;           5.434;à;              14,00;3er;          57.402;à;               5,30;ZZ;         191.991;à;               1,20;
20.08.;aufsteigend;7;13;17;18;32;37;ZZ;20;6er;               1;à;       1.718.397,50;5er + ZZ;               4;à;          35.782,00;5er;             123;à;           1.269,40;4er + ZZ;             237;à;             197,60;
20.08.;;;;;;;;;;4er;           5.632;à;              46,20;3er + ZZ;           7.115;à;              16,40;3er;          92.012;à;               5,10;ZZ;         277.548;à;               1,20;
23.08.;aufsteigend;19;23;24;38;39;41;ZZ;37;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          48.518,70;5er;              44;à;           2.405,80;4er + ZZ;             181;à;             175,40;
23.08.;;;;;;;;;;4er;           3.168;à;              55,60;3er + ZZ;           4.262;à;              18,60;3er;          55.319;à;               5,70;ZZ;         159.726;à;               1,20;
27.08.;aufsteigend;3;4;5;7;20;33;ZZ;41;6er;               3;à;         333.333,30;5er + ZZ;               3;à;          37.533,30;5er;             122;à;           1.006,80;4er + ZZ;             253;à;             145,60;
27.08.;;;;;;;;;;4er;           5.865;à;              34,90;3er + ZZ;           5.965;à;              15,40;3er;          90.214;à;               4,10;ZZ;         187.693;à;               1,20;
30.08.;aufsteigend;1;14;22;27;32;37;ZZ;41;6er;JP;;         699.747,90;5er + ZZ;               1;à;          96.215,30;5er;              85;à;           1.234,80;4er + ZZ;             183;à;             172,00;
30.08.;;;;;;;;;;4er;           3.891;à;              44,90;3er + ZZ;           4.799;à;              16,40;3er;          56.518;à;               5,60;ZZ;         165.819;à;               1,20;
03.09.;aufsteigend;3;11;13;15;39;40;ZZ;37;6er;               1;à;       1.755.105,90;5er + ZZ;               4;à;          36.277,90;5er;             130;à;           1.217,70;4er + ZZ;             299;à;             158,80;
03.09.;;;;;;;;;;4er;           6.016;à;              43,80;3er + ZZ;           6.923;à;              17,10;3er;          99.515;à;               4,70;ZZ;         242.849;à;               1,20;
06.09.;aufsteigend;4;7;11;18;23;36;ZZ;35;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          48.635,00;5er;             124;à;             855,70;4er + ZZ;             217;à;             146,60;
06.09.;;;;;;;;;;4er;           4.631;à;              38,10;3er + ZZ;           4.554;à;              17,40;3er;          69.256;à;               4,60;ZZ;         171.742;à;               1,20;
10.09.;aufsteigend;14;17;26;34;40;44;ZZ;3;6er;JP;;         816.511,40;5er + ZZ;               2;à;          56.135,10;5er;             119;à;           1.029,20;4er + ZZ;             305;à;             120,40;
10.09.;;;;;;;;;;4er;           4.694;à;              43,40;3er + ZZ;           6.656;à;              13,80;3er;          69.577;à;               5,30;ZZ;         254.938;à;               1,20;
13.09.;aufsteigend;5;14;23;27;31;45;ZZ;29;6er;               3;à;         574.537,80;5er + ZZ;               4;à;          31.181,60;5er;             108;à;           1.259,80;4er + ZZ;             255;à;             160,00;
13.09.;;;;;;;;;;4er;           5.255;à;              43,10;3er + ZZ;           6.651;à;              15,30;3er;          80.633;à;               5,00;ZZ;         237.492;à;               1,20;
